frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason,ModelHeight
280,3,target,819.8,310.9,down,down_L4,31.22,122.71,,,117.4181856,40.39883239,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,103.8,31.22,122.71,117.4150183,40.39875853,,573.523
281,3,target,821,312,down,down_L4,31.22,121.54,,,117.4181719,40.39883276,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,103.8,31.22,121.54,117.4150321,40.39875815,,573.505
282,3,target,822.4,312.9,down,down_L4,31.25,120.52,,,117.4181598,40.39883309,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,103.8,31.25,120.52,117.4150441,40.39875757,,573.489
283,3,target,823.7,314.1,down,down_L4,31.26,119.34,,,117.4181459,40.39883346,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,103.8,31.26,119.34,117.415058,40.39875719,,573.473
284,3,target,825.1,315.3,down,down_L4,31.26,118.08,,,117.4181311,40.39883386,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,103.8,31.26,118.08,117.4150728,40.39875679,,573.459
285,3,target,826.2,316.1,down,down_L4,31.27,117.26,,,117.4181214,40.39883412,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,103.8,31.27,117.26,117.4150825,40.3987564,,573.452
286,3,target,828,317.2,down,down_L4,31.31,116.09,,,117.4181076,40.39883449,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,104.8,31.31,116.09,117.4150962,40.39875572,,573.441
287,3,target,829.5,318.6,down,down_L4,31.31,114.74,,,117.4180916,40.39883493,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,104.8,31.31,114.74,117.4151122,40.3987553,,573.42
288,3,target,830.6,320,down,down_L4,31.27,113.46,,,117.4180766,40.39883533,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,104.8,31.27,113.46,117.4151272,40.39875524,,573.409
289,3,target,832,321.3,down,down_L4,31.27,112.29,,,117.4180628,40.3988357,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,104.8,31.27,112.29,117.4151409,40.39875489,,573.396
290,3,target,833.6,322.3,down,down_L4,31.3,111.26,,,117.4180507,40.39883603,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,104.8,31.3,111.26,117.4151531,40.39875429,,573.385
291,3,target,835,323.5,down,down_L4,31.3,110.15,,,117.4180376,40.39883639,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,104.8,31.3,110.15,117.4151661,40.39875399,,573.369
292,3,target,836.6,325,down,down_L4,31.3,108.85,,,117.4180223,40.3988368,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.6,31.3,108.85,117.4151814,40.39875357,,573.361
293,3,target,838,326.6,down,down_L4,31.27,107.5,,,117.4180064,40.39883723,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.6,31.27,107.5,117.4151973,40.39875342,,573.35
294,3,target,839.4,327.9,down,down_L4,31.26,106.36,,,117.4179929,40.39883759,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.6,31.26,106.36,117.4152108,40.39875313,,573.329
295,3,target,841.3,329,down,down_L4,31.31,105.35,,,117.4179809,40.39883791,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.6,31.31,105.35,117.4152227,40.3987524,,573.318
296,3,target,842.9,330.5,down,down_L4,31.3,104.17,,,117.4179671,40.39883829,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.6,31.3,104.17,117.4152365,40.39875209,,573.294
297,3,target,844.6,331.7,down,down_L4,31.33,103.08,,,117.4179542,40.39883863,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.6,31.33,103.08,117.4152494,40.39875156,,573.273
298,3,target,846,333.4,down,down_L4,31.29,101.82,,,117.4179394,40.39883903,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.6,31.29,101.82,117.4152642,40.39875146,,573.26
299,3,target,847.3,334.7,down,down_L4,31.28,100.79,,,117.4179272,40.39883936,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.4,31.28,100.79,117.4152763,40.39875124,,573.252
300,3,target,849.2,336.1,down,down_L4,31.3,99.65,,,117.4179138,40.39883973,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.4,31.3,99.65,117.4152898,40.39875075,,573.233
301,3,target,851,337.6,down,down_L4,31.31,98.52,,,117.4179004,40.39884009,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.4,31.31,98.52,117.4153031,40.39875033,,573.212
302,3,target,852.5,339.4,down,down_L4,31.27,97.21,,,117.417885,40.39884052,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.4,31.27,97.21,117.4153185,40.39875023,,573.186
303,3,target,854.4,340.7,down,down_L4,31.3,96.2,,,117.4178731,40.39884086,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.4,31.3,96.2,117.4153304,40.39874968,,573.175
304,3,target,856.5,342.4,down,down_L4,31.31,94.95,,,117.4178584,40.39884128,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.4,31.31,94.95,117.4153451,40.39874919,,573.159
305,3,target,858,343.9,down,down_L4,31.31,93.95,,,117.4178466,40.39884161,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,108.4,31.31,93.95,117.4153569,40.39874895,,573.148
306,3,target,860,345.8,down,down_L4,31.29,92.61,,,117.4178308,40.39884206,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.6,31.29,92.61,117.4153727,40.39874864,,573.132
307,3,target,862,347.4,down,down_L4,31.31,91.5,,,117.4178177,40.39884243,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.6,31.31,91.5,117.4153857,40.3987482,,573.119
308,3,target,863.9,349.2,down,down_L4,31.3,90.3,,,117.4178036,40.39884283,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.6,31.3,90.3,117.4153998,40.39874791,,573.101
309,3,target,865.9,351.3,down,down_L4,31.28,88.98,,,117.417788,40.39884327,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.6,31.28,88.98,117.4154154,40.39874768,,573.09
310,3,target,867.9,353.1,down,down_L4,31.28,87.82,,,117.4177744,40.39884365,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.6,31.28,87.82,117.415429,40.39874732,,573.074
311,3,target,870.3,354.9,down,down_L4,31.3,86.64,,,117.4177604,40.39884405,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.1,31.3,86.64,117.415443,40.39874676,,573.055
